year_th,ex_glutinous,ex_white,ex_hommali,ex_pathum,ex_colored,q_pathum,q_hommali,q_white,q_glutinous,dom_hommali,dom_pathum,dom_white,dom_glutinous
2545,229807.242,5611645.542,1492995.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2546,294417.363,4848814.474,2202738.986,NA,NA,337300.92000000004,3953023.8000000003,10373974.38,4027651.3200000003,1750284.8140000002,NA,5525159.906,3733233.9570000004
2547,208435.33,7508409.039,2259744.447,NA,NA,871160.4,4043795.58,10441748.46,4324674.42,1784051.133,NA,2933339.421000001,4116239.09
2548,290194.147,4670766.854,2309528.592,225414.223,NA,1342313.9400000002,4170768.3600000003,9416511.72,4127229.48,1861239.7680000002,1116899.7170000002,4745744.866,3837035.333
2549,290776.435,4263247.29,2593702.201,346414.152,NA,1025599.0800000001,4280699.28,10617395.58,4304149.74,1686997.0790000004,679184.9280000001,6354148.29,4013373.305
2550,175133.609,5527647.194,3067569.076,422167.667,NA,1315298.82,4335445.62,9789446.040000001,4353606.84,1267876.5440000002,893131.153,4261798.846000001,4178473.2309999997
2551,298449.101,7144635.879,2515929.41,257113.364,NA,1810190.58,4358540.34,10781587.08,4484523.12,1842610.9299999997,1553077.216,3636951.2010000004,4186074.0190000003
2552,527694.678,5246021.391,2631133.371,215021.207,NA,1738108.6800000002,4416456,10581729.18,4398880.2,1785322.6290000002,1523087.4730000002,5335707.789,3871185.5220000003
2553,296733.676,6093364.199,2358229.776,191302.62,NA,1700599.56,4766009.16,10435429.620000001,4480544.640000001,2407779.384,1509296.94,4342065.421000001,4183810.9640000006
2554,287670.224,7852250.994,2359607.327,212020.443,NA,1649029.8,5545062.600000001,11346411.780000001,5221923.96,3185455.2730000005,1437009.357,3494160.7860000012,4934253.736
2555,226196.632,4509944.337,1912656.982,85628.917,NA,1420384.02,5824536.96,12458527.620000001,5444346.600000001,3911879.978,1334755.1030000001,7948583.283000001,5218149.968
2556,326834.617,4317327.205,1911706.4,51684.154,NA,1030426.3200000001,5712925.0200000005,13704199.74,5073179.76,3801218.6200000006,978742.1660000001,9386872.535,4746345.143
2557,334083.699,8604516.296,1869672.879,161071.373,NA,1037038.2000000001,5693006.220000001,12490114.56,5042943.84,3823333.341000001,875966.827,3885598.2640000004,4708860.141
2558,264432.505,7419718.613,1987231.757,124397.763,NA,737410.74,5764920.48,9656676.48,4708132.44,3777688.723,613012.977,2236957.8670000006,4443699.9350000005
2559,337273.659,7071017.152,2367685.05,131892.03,NA,664396.26,5796893.5200000005,7492642.74,4143932.1,3429208.4700000007,532504.23,421625.58800000045,3806658.441
2560,256136.763,8711069.379,2308789.16,386209.856,12126.205,919589.2200000001,6125246.82,9470158.5,4510750.86,3816457.66,533379.3640000001,759089.1209999993,4254614.097
2561,223977.817,8876723.351,1665657.668,454415.092,11402.34,865119.42,5982158.16,10568502.120000001,4297496.28,4316500.492000001,410704.32800000004,1691778.7690000013,4073518.4630000005
2562,130604.171,5515011.745,1410811.118,514007.5,10077.934,1140052.32,5860384.2,10237382.1,4111936.62,4449573.082,626044.8200000001,4722370.3549999995,3981332.449
