year_th,ex_glutinous,ex_white,ex_hommali,ex_pathum,ex_colored,q_pathum,q_hommali,q_white,q_glutinous,dom_hommali,dom_pathum,dom_white,dom_glutinous
2549,290776.435,4263247.29,2593702.201,346414.152,NA," 1,025,599 "," 4,280,699 "," 10,617,396 "," 4,304,150 ",1686997.079,679184.928,6354148.29,4013373.305
2550,175133.609,5527647.194,3067569.076,422167.667,NA," 1,315,299 "," 4,335,446 "," 9,789,446 "," 4,353,607 ",1267876.544,893131.153,4261798.846,4178473.231
2551,298449.101,7144635.879,2515929.41,257113.364,NA," 1,810,191 "," 4,358,540 "," 10,781,587 "," 4,484,523 ",1842610.93,1553077.216,3636951.201,4186074.019
2552,527694.678,5246021.391,2631133.371,215021.207,NA," 1,738,109 "," 4,416,456 "," 10,581,729 "," 4,398,880 ",1785322.629,1523087.473,5335707.789,3871185.522
2553,296733.676,6093364.199,2358229.776,191302.62,NA," 1,700,600 "," 4,766,009 "," 10,435,430 "," 4,480,545 ",2407779.384,1509296.94,4342065.421,4183810.964
2554,287670.224,7852250.994,2359607.327,212020.443,NA," 1,649,030 "," 5,545,063 "," 11,346,412 "," 5,221,924 ",3185455.273,1437009.357,3494160.786,4934253.736
2555,226196.632,4509944.337,1912656.982,85628.917,NA," 1,420,384 "," 5,824,537 "," 12,458,528 "," 5,444,347 ",3911879.978,1334755.103,7948583.283,5218149.968
2556,326834.617,4317327.205,1911706.4,51684.154,NA," 1,030,426 "," 5,712,925 "," 13,704,200 "," 5,073,180 ",3801218.62,978742.166,9386872.535,4746345.143
2557,334083.699,8604516.296,1869672.879,161071.373,NA," 1,037,038 "," 5,693,006 "," 12,490,115 "," 5,042,944 ",3823333.341,875966.827,3885598.264,4708860.141
2558,264432.505,7419718.613,1987231.757,124397.763,NA," 737,411 "," 5,764,920 "," 9,656,676 "," 4,708,132 ",3777688.723,613012.977,2236957.867,4443699.935
2559,337273.659,7071017.152,2367685.05,131892.03,NA," 664,396 "," 5,796,894 "," 7,492,643 "," 4,143,932 ",3429208.47,532504.23,421625.588,3806658.441
2560,256136.763,8711069.379,2308789.16,386209.856,12126.205," 919,589 "," 6,125,247 "," 9,470,159 "," 4,510,751 ",3816457.66,533379.364,759089.121,4254614.097
2561,223977.817,8876723.351,1665657.668,454415.092,11402.34," 865,119 "," 5,982,158 "," 10,568,502 "," 4,297,496 ",4316500.492,410704.328,1691778.769,4073518.463
2562,130604.171,5515011.745,1410811.118,514007.5,10077.934," 1,140,052 "," 5,860,384 "," 10,237,382 "," 4,111,937 ",4449573.082,626044.82,4722370.355,3981332.449
,,,,,,,,,,,,,
avg,,,,,, 4.20 , 28.65 , 46.02 , 21.13 ,,,,
% export,,,,,,,,,,,,,
