year_th,month,ex_glutinous,ex_white,ex_hommali,ex_pathum,ex_colored,date
2545,01,13054.26,665723.112,11889.378,0,0,2002-01-01
2545,02,18478.137,451630.07899999997,27416.008,0,0,2002-02-01
2545,03,14681.428,547161.764,41099.086,0,0,2002-03-01
2545,04,20208.437,525740,17749.085,0,0,2002-04-01
2545,05,18239.308,436294.42,46268.537,0,0,2002-05-01
2545,06,15290.163,367622.865,144787.194,0,0,2002-06-01
2545,07,11146.494,360513.175,173942.573,0,0,2002-07-01
2545,08,10924.417,349607.757,222067.555,0,0,2002-08-01
2545,09,17600.545,378190.087,162949.325,0,0,2002-09-01
2545,10,37717.257,617172.758,158169.933,0,0,2002-10-01
2545,11,23849.486,620258.588,235293.69,0,0,2002-11-01
2545,12,28617.31,291730.937,251362.672,0,0,2002-12-01
2546,01,28913.079,356512.071,214285.408,0,0,2003-01-01
2546,02,36102.657,331690.2,213064.281,0,0,2003-02-01
2546,03,21208.228,209365.248,171172.563,0,0,2003-03-01
2546,04,29292.168999999998,285458.492,155735.731,0,0,2003-04-01
2546,05,25414.685,361081.402,151961.65,0,0,2003-05-01
2546,06,19855.802,280414.507,167154.917,0,0,2003-06-01
2546,07,11605.218,391772.359,161464.747,0,0,2003-07-01
2546,08,23404.04,494454.225,202411.922,0,0,2003-08-01
2546,09,20319.128,489381.392,108925.206,0,0,2003-09-01
2546,10,22287.187,388652.99199999997,133108.833,0,0,2003-10-01
2546,11,20703.468,658166.504,286474.954,0,0,2003-11-01
2546,12,35311.702,601865.082,236978.774,0,0,2003-12-01
2547,01,25503.918,372526.698,195604.498,0,0,2004-01-01
2547,02,27784.221,394585.474,185593.825,0,0,2004-02-01
2547,03,18038.921,441534.352,174453.035,0,0,2004-03-01
2547,04,11723.204,494249.06,150704.492,0,0,2004-04-01
2547,05,22839.55,630561.924,189359.35,0,0,2004-05-01
2547,06,15892.912,865910.503,178791.352,0,0,2004-06-01
2547,07,8296.212,770944.379,157944.962,0,0,2004-07-01
2547,08,11650.832,812815.191,182352.93,0,0,2004-08-01
2547,09,8000.9169999999995,738060.544,167459.344,0,0,2004-09-01
2547,10,18581.803,685969.186,172435.049,0,0,2004-10-01
2547,11,14407.171,683342.933,272571.013,0,0,2004-11-01
2547,12,25715.669,617908.795,232474.597,0,0,2004-12-01
2548,01,22141.766,513541.705,198845.228,0,0,2005-01-01
2548,02,10752.048,424878.866,179943.378,0,0,2005-02-01
2548,03,17000.432,432318.784,160616.809,0,0,2005-03-01
2548,04,26934.183,332068.742,165005.319,8840.29,0,2005-04-01
2548,05,28453.514,518539.277,207515.953,9962.211,0,2005-05-01
2548,06,21206.058,426411.289,166335.615,18805.474000000002,0,2005-06-01
2548,07,14037.722,304753.59500000003,121229.095,26583.487,0,2005-07-01
2548,08,27255.067,351717.298,236095.432,29083.82,0,2005-08-01
2548,09,18963.242,409777.517,177639.698,44296.899,0,2005-09-01
2548,10,21664.824,344525.529,190984.221,27511.143,0,2005-10-01
2548,11,37947.967,351635.093,260295.725,30116.393,0,2005-11-01
2548,12,43837.324,260599.15899999999,245022.119,30214.506,0,2005-12-01
2549,01,36213.426,334495.453,182354.21899999998,29001.231,0,2006-01-01
2549,02,22876.528,357108.111,208982.282,25232.047,0,2006-02-01
2549,03,46773.049999999996,243591.394,219052.72699999998,31639.013,0,2006-03-01
2549,04,18654.264,270044.909,246584.119,21561.096999999998,0,2006-04-01
2549,05,28428.652,440509.293,158419.512,20138.081000000002,0,2006-05-01
2549,06,35418.841,271571.012,171243.669,16645.82,0,2006-06-01
2549,07,29055.975,540542.049,241583.137,19598.426,0,2006-07-01
2549,08,19411.179,217101.369,178559.805,45830.595,0,2006-08-01
2549,09,9612.846,330693.981,205319.896,59058.479,0,2006-09-01
2549,10,11651.135,432508.498,208461.242,33868.614,0,2006-10-01
2549,11,10754.742,439692.39900000003,260401.316,25545.083,0,2006-11-01
